ticker,ticker,date,quarter,price,volume,returns_1m,returns_3m,returns_6m,returns_12m,volatility,ma_50,ma_200,rsi,volume_ratio,market_cap,pe_ratio,pb_ratio,ps_ratio,profit_margin,operating_margin,roe,debt_to_equity,revenue_growth,earnings_growth,ticker,innovation_intensity,profitability_quality,market_position,financial_health,growth_momentum,success_probability
COHR,ASML,2024-07-01,2024Q3,1021.5171508789062,791000.0,0.06973255115485352,0.042992457242794324,0.3689407645390283,0.44111049086337195,0.3913328427901408,949.1404012044271,809.2866414388021,48.19646357117366,0.7548567403603644,389416943616,34.358562,22.060556,12.107493,0.29273,0.34636003,0.58245,0.20995,0.232,0.471,ASML,0.061242696330007576,0.3063396046327338,0.0,-0.08391479150960159,0.03019232455048733,0.9698270207753116
COHU,INTC,2025-07-03,2025Q3,22.489999771118164,61176000.0,0.10842773564919977,0.023202922634362647,0.1347124176289058,-0.26612624204750085,0.6316601974846796,20.972548952289657,21.75875615361911,62.25070323268314,0.6475965433248578,170974396416,47.454544,1.6071187,3.221677,-0.38636002,-0.03803,-0.18616,0.47997,0.002,-0.224,INTC,-0.15248480185392566,-0.19924026980754428,0.0,-0.0074601810073982285,-0.04477683743231122,0.8937670231789071
CRUS,MCHP,2023-12-28,2023Q4,86.88114166259766,2375300.0,0.11024194350361805,0.16159796561725878,0.055267015052797706,0.3418817619578724,0.33073664214221765,78.03348421582989,77.10548943666676,66.82277473962571,0.5007931360599812,34766168064,32.232506,5.0456476,8.207698,-0.03503,0.05049,-0.02238,0.8012900000000001,-0.134,0.722,MCHP,-0.27886280078007747,-0.08853874406772769,0.0,0.08351972954207212,-0.05936511520865343,0.2704583716761662
DIOD,SMCI,2024-04-01,2024Q2,103.71499633789062,51852000.0,0.19746682818306036,2.5585861969085313,2.850137255748846,8.81684812656924,1.3729064290112991,82.84792189504586,41.681303565181906,46.44430962814299,0.5720890571993438,31133976576,27.286459,4.9396567,1.4169815,0.04774,0.03967,0.17899999,0.80281,0.075,-0.314,SMCI,-0.08464955243032946,-0.006165862230411323,0.0,0.08395010880273186,0.4961867599103303,0.9988351086431511
ENTG,NXPI,2025-04-02,2025Q2,191.88674926757812,2231700.0,-0.07831550343377312,-0.06192269932545359,-0.18541198701658837,-0.19978107626937774,0.3966511153305056,210.31359743604472,228.35994511694457,44.249243638227426,0.7985254803604684,56987983872,26.967627,5.925701,4.701203,0.17719999,0.25768998,0.22695999,1.1551900000000002,-0.064,-0.311,NXPI,-0.21381530133279344,0.1125270630084779,0.0,0.18372447977068396,-0.13632217848285935,0.008171292224449673
FORM,STM,2025-07-03,2025Q3,32.290000915527344,4742500.0,0.2617910509390096,0.47832844305126004,0.3019818599004744,-0.1661131806769388,0.6829625916325088,26.435038323495903,25.446566387195492,66.35147036526595,0.627927079313919,25306245120,60.340427,1.4297237,2.1346476,0.05491,0.01916,0.03763,0.17666,-0.144,0.467,STM,-0.288155300701118,-0.07661507039478023,0.0,-0.09334066360655123,0.03317791217438751,0.927323086583416
ICHR,NVDA,2025-07-03,2025Q3,159.3310089111328,143716100.0,0.12838879992271307,0.44313585604018035,0.15910772638801535,0.28230346366525205,0.5456504537478996,133.37961458692362,129.9467188137681,70.97718507089401,0.7687038921982049,4558732394496,53.193184,45.523952,27.592228,0.52414,0.60842997,1.09417,0.10583999999999999,0.556,0.612,NVDA,0.36231969377172224,0.6457047815284318,1.0,-0.11339293942229096,0.15805939978112526,0.9963744636266083
INTC,AMAT,2023-03-29,2023Q1,117.16387176513672,7865300.0,0.0318553503956176,0.2600238041554382,0.43105405992983253,-0.12083145126987044,0.3984319754494583,113.57685418222465,98.9188530006219,53.967801976313766,1.1066694449878995,173460930560,24.437712,8.893518,6.062312,0.23877001,0.30581,0.35634997,0.3467,0.077,0.083,AMAT,-0.08279105244612134,0.19018716733523655,0.0,-0.04519481526274465,0.04293303233628708,0.9701662653603865
KLAC,MCHP,2024-12-30,2024Q4,55.87179183959961,7182000.0,-0.15839114162654505,-0.28367851105226344,-0.3685937166033484,-0.35691692385238966,0.39753002307383667,65.24077897913315,78.77167531862781,28.310497729498707,0.7714396196150322,34766168064,Infinity,5.0456476,8.207698,-0.03503,0.05049,-0.02238,0.8012900000000001,-0.134,0.147,MCHP,-0.27886280078007747,-0.08853874406772769,0.0,0.08351972954207212,-0.20278753842344355,0.00271251403902009
LITE,FORM,2024-04-01,2024Q2,46.27000045776367,369500.0,0.07529634604650899,0.10429591343059263,0.3204908461420718,0.5326266856327498,0.45659762160941364,42.3164706510656,36.9108457897433,60.84337787773277,0.7966468861009014,2985091328,63.459015,3.0150323,3.9043565,0.05746,0.06285,0.04533,0.03628,-0.008,-0.529,FORM,-0.16177730177496621,-0.05365742247143076,0.0,-0.1330884534824838,-0.025672954116997982,0.1462952139782876
LRCX,DIOD,2024-12-30,2024Q4,61.529998779296875,190300.0,-0.04307938010875743,-0.039943793179470895,-0.12337944665750139,-0.24567857043646554,0.4560574708143775,61.974510192871094,67.7574628763531,44.729899016044094,0.5211522912808743,2466109184,38.774433,1.2695717,1.7771173,0.04587,0.025880001,0.03528,0.05151,0.145,4.824,DIOD,-0.01960205298304544,-0.07461491547643674,0.0,-0.12877616654837312,-0.044962288307970916,0.02786592556194978
MCHP,NVDA,2023-09-28,2023Q3,43.06361389160156,424663000.0,-0.11666642018484259,0.055620607256852354,0.5971317221812839,2.4734027283560542,0.3983141848634126,44.987765966677195,31.915901321676834,35.89682330455415,0.9441732372748584,4558732394496,53.193184,45.523952,27.592228,0.52414,0.60842997,1.09417,0.10583999999999999,0.556,0.612,NVDA,0.36231969377172224,0.6457047815284318,1.0,-0.11339293942229096,0.13858410235969504,0.9963648023029179
MKSI,AMD,2025-04-02,2025Q2,102.95999908447266,20794000.0,0.021935474783847705,-0.15909835812242623,-0.3725012314999507,-0.4384204148519771,0.4342626274227875,108.69215662339154,137.14184118621978,57.45007900119797,0.6493520591425871,266162585600,97.04733,4.4586105,8.99198,0.095740005,-0.01275,0.04699,0.06513,0.317,2.336,AMD,0.14022894565885244,-0.0868921074513187,0.0,-0.12491974185746131,-0.07580957013710576,0.00827840097245451
MPWR,NVDA,2023-06-29,2023Q2,40.794593811035156,380514000.0,0.017831174760588733,0.5129789161009356,1.891661829905824,1.5563594235242357,0.6196080079302599,34.1971768023921,22.245748965894403,60.087250774527995,0.7245597354196162,4558732394496,53.193184,45.523952,27.592228,0.52414,0.60842997,1.09417,0.10583999999999999,0.556,0.612,NVDA,0.36231969377172224,0.6457047815284318,1.0,-0.11339293942229096,0.39806399033533135,0.9982330592498544
MRVL,COHR,2023-06-29,2023Q2,48.40999984741211,3296400.0,0.2577292215213139,0.3219552501204984,0.46563734897124437,-0.0915744226736038,0.7459504224384949,37.24137257594688,37.5956219345776,64.2444448851816,0.6909401958504303,17863098368,19.907562,3.159621,3.0744827,0.0085,0.105909996,0.00366,0.46098999999999996,0.164,-0.368,COHR,-0.0019463031330683314,-0.05236848165451047,0.0,-0.012834258880636596,0.09516118899987623,0.940947795362407
MTSI,DIOD,2024-07-01,2024Q3,70.19000244140625,244100.0,-0.03651332997158221,-0.004961702148830731,-0.13951204236844017,-0.23146829043925699,0.3843943568085916,72.32529434503293,71.72417933905302,44.765588670678504,0.7768230587379523,2466109184,38.774433,1.2695717,1.7771173,0.04587,0.025880001,0.03528,0.05151,0.145,4.824,DIOD,-0.01960205298304544,-0.07461491547643674,0.0,-0.12877616654837312,-0.04014810527619922,0.01077259609111958
MU,ALGM,2023-03-29,2023Q1,46.65999984741211,797600.0,0.06822343226685414,0.5626255490174535,1.0951952801215907,0.6162105469703582,0.4438157267408554,42.08352945365158,29.498407923760105,54.89130054507162,0.5157039449984759,5497552896,33.52974,5.6965327,7.2194495,-0.09004,-0.01347,-0.06717,0.36254,0.219,0.156,ALGM,0.04916244643265483,-0.13666652091605896,0.0,-0.040709810335869234,0.23773876949750142,0.9973692850623059
MXL,MRVL,2023-12-28,2023Q4,60.93217468261719,4109200.0,0.10291462015051367,0.13646417644966205,0.052436119192692816,0.7093723192408519,0.3859583641341659,53.571318682502294,52.5814277686883,82.74621579983578,0.4010766246858644,72321564672,33.52974,5.3882713,9.996208,-0.01429,0.14895001,-0.00749,0.35586,0.576,0.156,MRVL,0.3809046936138033,-0.03786807133369845,0.0,-0.04260121392876871,0.10023509620701643,0.15505664369560082
NVDA,AMBA,2022-12-27,2022Q4,79.05000305175781,221700.0,0.09245442765307553,0.3605852861935663,0.1493167265881409,-0.6224928110989549,0.6932754715794214,67.3064702351888,75.31880590334461,57.33568364147921,0.31107681205901216,3631980800,68.03509,6.1930413,10.435197,-0.25464,-0.23021999,-0.15769,0.00597,0.499,-0.766,AMBA,0.3093524442217909,-0.2732249119019203,0.0,-0.14167055571313997,0.13933165077259843,0.9697629836427676
NVTS,MTSI,2024-09-30,2024Q3,111.26000213623047,642600.0,0.017652979720590965,0.008155142451081935,0.13972545590945515,0.3543517963439273,0.47155375753438494,102.77705891927083,98.17920403931271,75.56483942063237,1.2719834858753334,9635838976,47.454544,7.4596252,10.6262245,-0.0771,0.1494,-0.05965,0.45016,0.323,0.778,MTSI,0.14580444561147682,-0.06026028055914276,0.0,-0.01590071111283739,0.01633173506808463,0.9168326766138826
NXPI,ENTG,2023-06-29,2023Q2,108.02429962158203,820500.0,0.0091683543204912,0.3527852845142012,0.6981191770161893,0.0584258826245147,0.5578540702244832,93.18127426446652,81.55721317120452,49.28873028976888,0.5268508807602577,14225544192,47.454544,3.7346475,4.4136105,0.091680005,0.15068,0.08083,1.06487,-0.025,-0.224,ENTG,-0.1775745516407352,0.0011667589349249677,0.0,0.15815089107148014,0.07063837143131052,0.9951054516469525
ON,QCOM,2023-09-28,2023Q3,106.43360137939453,4851300.0,-0.01664014973075518,-0.05228965301914148,-0.09933913064137893,-0.05206419900362018,0.3341452592806471,110.0692544076957,111.81894065135747,62.301579306849455,0.5822721216974128,179642728448,16.054968,6.632804,4.152917,0.26766002,0.26647,0.44615,0.5435,0.103,0.294,QCOM,-0.05863055265141585,0.21141760060684617,0.0,0.010527973222677234,-0.0808063784005631,0.023321731981085857
ONTO,AMBA,2025-07-03,2025Q3,67.31999969482422,512300.0,0.24967516297793388,0.30998249648519327,-0.06121879020632986,0.25573585018436634,0.8050244835333196,56.09549010033701,61.33069637165734,72.54464144522528,0.4165701872926016,3631980800,33.52974,6.1930413,10.435197,-0.25464,-0.23021999,-0.15769,0.00597,0.499,0.156,AMBA,0.3093524442217909,-0.2732249119019203,0.0,-0.14167055571313997,0.10183539718057391,0.2546118480828857
PI,COHU,2024-12-30,2024Q4,26.420000076293945,291000.0,0.01693612555082218,0.028015536652931283,-0.18431612923285365,-0.27377681966454365,0.420034435326669,26.441960802265243,28.56472638827651,42.777783517485226,0.9772440151599955,953239168,34.358562,1.1480294,2.4363408,-0.22108999,-0.1479,-0.100880004,0.06634999999999999,0.028,0.471,COHU,-0.12832430205922016,-0.21164448897742288,0.0,-0.12457430587193177,-0.07943438253047225,0.26941917023082923
POWI,SWKS,2024-07-01,2024Q3,101.78498077392578,2025800.0,0.17335693094128898,0.001293838255732809,-0.053078359605992796,-0.004702186405892486,0.43190317821177027,92.91497757855583,94.79070392058263,75.88424890812198,0.718446437980464,11801476096,30.658632,2.0042005,2.9417644,0.09876,0.11617,0.06609,0.21367999999999998,0.066,-0.067,SWKS,-0.09301280235926596,-0.020717472170440395,0.0,-0.08285866345548255,-0.07489675561738039,0.21612554637454442
QCOM,ON,2023-03-29,2023Q1,79.87000274658203,7228400.0,0.031778826612777644,0.3016623525441718,0.24233942462570102,0.22274958848339854,0.47093579278390024,77.97352936688591,67.76781093540477,47.614621112478005,1.0007390349561556,20350545920,46.941746,2.5037541,3.1803691,0.07279,0.16518,0.05748,0.45661,-0.154,-0.474,ON,-0.29744780062215853,-0.0024355398493365876,0.0,-0.014074430697537737,-0.030424245904465602,0.9093559689414386
QRVO,ADI,2023-12-28,2023Q4,194.38955688476562,2215500.0,0.09816315292772501,0.14043129999983886,0.06681354754158764,0.2580352413406546,0.2436720370053999,173.55210337919348,176.15165254962977,72.20047470986286,0.7038770690586379,121788489728,62.475197,3.4535115,11.72532,0.18847999,0.28551,0.05652,0.25541,0.246,0.316,ADI,0.07425219621946437,0.05119166980863918,0.0,-0.07104305388486946,0.012360860028425335,0.9879855134183714
RMBS,KLAC,2024-09-30,2024Q3,767.0072631835938,932900.0,-0.026817517931625175,-0.06277314177082456,0.09358179898780579,0.705511724891209,0.5919258568197732,760.7756216011795,704.881715385475,63.43754313619571,0.9802605902308685,148654718976,35.4656,31.760685,12.228754,0.33411998,0.42578998,1.00775,1.29746,0.236,0.467,KLAC,0.06495969629842378,0.5262420100730466,0.0,0.22400741227993684,-0.025773706295070715,0.5871293018569618
SITM,AOSL,2024-09-30,2024Q3,37.119998931884766,158500.0,-0.09968471152033961,-0.02928877346814324,0.6819211348059068,0.2506738056000475,0.7340915856405344,37.26058817844765,29.353383040546777,64.92388153790574,0.5094045086545966,855325376,19.642187,0.98492867,1.2286298,-0.1393,0.12612,-0.11316,0.39037999999999995,0.449,0.5,AOSL,0.26288994461658804,-0.09389497462359334,0.0,-0.03282707440378517,0.12012173247200178,0.9808919197591532
SLAB,ASML,2023-12-28,2023Q4,746.2098999023438,468000.0,0.12109653390807486,0.3085183443397731,0.052719393120450875,0.42483078106426125,0.26747458238013655,661.9037511488971,653.4409878099735,71.39695935475167,0.5491637936333209,389416943616,34.358562,22.060556,12.107493,0.29273,0.34636003,0.58245,0.20995,0.232,0.471,ASML,0.061242696330007576,0.3063396046327338,0.0,-0.08391479150960159,0.04143665666138058,0.9406055424298687
SMCI,DIOD,2024-09-30,2024Q3,64.08999633789062,349400.0,-0.07956342286449535,-0.08690705073856972,-0.09143754598700234,-0.18553825963326165,0.5669787572445563,66.81568602019665,70.69915431767554,57.8725597686192,0.912963953763267,2466109184,38.774433,1.2695717,1.7771173,0.04587,0.025880001,0.03528,0.05151,0.145,4.824,DIOD,-0.01960205298304544,-0.07461491547643674,0.0,-0.12877616654837312,-0.050082709936130246,0.025573300686385678
SMTC,STM,2024-04-01,2024Q2,42.65184783935547,2294600.0,-0.048924770055350036,-0.13604048620974413,0.017150484229969412,-0.15568160717118845,0.31648543933292994,44.392843807444855,45.20491380833868,29.22569782633586,0.667546817465221,25306245120,60.340427,1.4297237,2.1346476,0.05491,0.01916,0.03763,0.17666,-0.144,0.316,STM,-0.288155300701118,-0.07661507039478023,0.0,-0.09334066360655123,-0.1255446510219543,0.015993119511046438
STM,TXN,2023-09-28,2023Q3,149.78298950195312,4271400.0,-0.06795948545764012,-0.09379587309790363,-0.10825640034273729,0.019775557869239634,0.231991015521578,158.84865555108763,160.81746548325268,34.11295265795704,1.0003959229968804,166581207040,33.52974,9.996675,9.989878,0.30231002,0.35027,0.29990998,0.85612,0.164,0.156,TXN,-0.0019463031330683314,0.1857069203587303,0.0,0.09904452879337129,-0.07682634634747745,0.011408002732916613
SWKS,COHR,2023-09-28,2023Q3,32.11000061035156,2568100.0,-0.12886597724759766,-0.33670727718318527,-0.1231567027055913,-0.11737219165466316,0.784079284497789,39.15882323769962,39.28497508983707,44.744453882071035,0.947699991037899,17863098368,32.232506,3.159621,3.0744827,0.0085,0.105909996,0.00366,0.46098999999999996,0.164,0.722,COHR,-0.0019463031330683314,-0.05236848165451047,0.0,-0.012834258880636596,-0.11200658979920802,0.0004371867798591835
TSM,MTSI,2022-12-27,2022Q4,62.099998474121094,219400.0,-0.09263594010992392,0.1703731034085606,0.30134109148302507,-0.22316741834429354,0.43545365084107973,63.81686229331821,56.456716300243166,35.42855883401538,0.5941429068822778,9635838976,32.232506,7.4596252,10.6262245,-0.0771,0.1494,-0.05965,0.45016,0.323,0.778,MTSI,0.14580444561147682,-0.06026028055914276,0.0,-0.01590071111283739,0.06952165014051834,0.9908948246464895
TXN,AOSL,2023-03-29,2023Q1,26.540000915527344,215700.0,-0.006364589096677943,-0.07654832543880799,-0.17140175064003071,-0.591377949768393,0.5231090823351049,28.980784247903262,33.00467661008313,53.12500253996963,0.894260951967307,855325376,Infinity,0.98492867,1.2286298,-0.1393,0.12612,-0.11316,0.39037999999999995,0.449,0.147,AOSL,0.26288994461658804,-0.09389497462359334,0.0,-0.03282707440378517,-0.0006301394567356012,0.02681750694641306
UCTT,MPWR,2025-07-03,2025Q3,757.30517578125,400100.0,0.1086260116757123,0.2871435524810503,0.26544162147045813,-0.0664906637314453,0.7532403306576584,673.1692696365656,675.9250394147427,60.597375414112726,0.7069915771227586,43862847488,24.095503,12.89304,17.242283,0.73167,0.24791999,0.665,0.005849999999999999,0.31,0.356,MPWR,0.13372419571412406,0.2978862905785755,0.0,-0.14170453302319205,0.08241989625016174,0.998858749991335
